index,raw_payload,rejection_reason
32827,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""46"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""January"", ""arrival_date_week_number"": ""4"", ""arrival_date_day_of_month"": ""25"", ""stays_in_weekend_nights"": ""3"", ""stays_in_week_nights"": ""9"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""FRA"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""I"", ""booking_changes"": ""8"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-02-06""}",No guests in booking
34849,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""15"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""March"", ""arrival_date_week_number"": ""13"", ""arrival_date_day_of_month"": ""30"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""6"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""523"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-04-07""}",No guests in booking
34855,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""15"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""March"", ""arrival_date_week_number"": ""13"", ""arrival_date_day_of_month"": ""30"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""6"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Corporate"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""523"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-04-07""}",No guests in booking
37459,"{""hotel"": ""Resort Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""1"", ""arrival_date_year"": ""2017"", ""arrival_date_month"": ""June"", ""arrival_date_week_number"": ""25"", ""arrival_date_day_of_month"": ""18"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""5"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""GBR"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""I"", ""booking_changes"": ""6"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2017-06-25""}",No guests in booking
40392,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""132"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""July"", ""arrival_date_week_number"": ""30"", ""arrival_date_day_of_month"": ""23"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""5"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""HB"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""4"", ""deposit_type"": ""No Deposit"", ""agent"": ""1"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-07-30""}",No guests in booking
40600,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""2"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""32"", ""arrival_date_day_of_month"": ""3"", ""stays_in_weekend_nights"": ""1"", ""stays_in_week_nights"": ""0"", ""adults"": ""2"", ""children"": null, ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Undefined"", ""distribution_channel"": ""Undefined"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""12"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-08-01""}",Invalid guest count values (must be numbers)
40667,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""1"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""32"", ""arrival_date_day_of_month"": ""5"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""2"", ""adults"": ""2"", ""children"": null, ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Undefined"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""14"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""12"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-08-04""}",Invalid guest count values (must be numbers)
40679,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""1"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""32"", ""arrival_date_day_of_month"": ""5"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""2"", ""adults"": ""3"", ""children"": null, ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Undefined"", ""distribution_channel"": ""Undefined"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""18"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""2"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-08-04""}",Invalid guest count values (must be numbers)
40922,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""33"", ""arrival_date_day_of_month"": ""9"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""FRA"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""F"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""9"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Contract"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-08-11""}",No guests in booking
41020,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""33"", ""arrival_date_day_of_month"": ""10"", ""stays_in_weekend_nights"": ""9"", ""stays_in_week_nights"": ""20"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""E"", ""assigned_room_type"": ""K"", ""booking_changes"": ""20"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""47"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-09-08""}",No guests in booking
41056,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""33"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""4"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": ""49"", ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-08-15""}",No guests in booking
41160,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""8"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""August"", ""arrival_date_week_number"": ""33"", ""arrival_date_day_of_month"": ""13"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""5"", ""adults"": ""2"", ""children"": null, ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""Undefined"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""9"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""76.5"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-08-09""}",Invalid guest count values (must be numbers)
42452,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""1"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""September"", ""arrival_date_week_number"": ""37"", ""arrival_date_day_of_month"": ""6"", ""stays_in_weekend_nights"": ""2"", ""stays_in_week_nights"": ""0"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""SC"", ""country"": ""PRT"", ""market_segment"": ""Groups"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""A"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""1"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient-Party"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Canceled"", ""reservation_status_date"": ""2015-09-05""}",No guests in booking
42591,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""September"", ""arrival_date_week_number"": ""37"", ""arrival_date_day_of_month"": ""7"", ""stays_in_weekend_nights"": ""1"", ""stays_in_week_nights"": ""4"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""SWE"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""2"", ""deposit_type"": ""No Deposit"", ""agent"": ""11"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-09-12""}",No guests in booking
42871,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""0"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""September"", ""arrival_date_week_number"": ""37"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""2"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""FRA"", ""market_segment"": ""Groups"", ""distribution_channel"": ""Corporate"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""1"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-09-13""}",No guests in booking
42934,"{""hotel"": ""City Hotel"", ""is_canceled"": ""0"", ""lead_time"": ""4"", ""arrival_date_year"": ""2015"", ""arrival_date_month"": ""September"", ""arrival_date_week_number"": ""37"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""1"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""PRT"", ""market_segment"": ""Direct"", ""distribution_channel"": ""Direct"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""A"", ""assigned_room_type"": ""K"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": null, ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""0"", ""reservation_status"": ""Check-Out"", ""reservation_status_date"": ""2015-09-12""}",No guests in booking
47166,"{""hotel"": ""City Hotel"", ""is_canceled"": ""1"", ""lead_time"": ""1"", ""arrival_date_year"": ""2016"", ""arrival_date_month"": ""February"", ""arrival_date_week_number"": ""7"", ""arrival_date_day_of_month"": ""11"", ""stays_in_weekend_nights"": ""0"", ""stays_in_week_nights"": ""3"", ""adults"": ""0"", ""children"": ""0"", ""babies"": ""0"", ""meal"": ""BB"", ""country"": ""GBR"", ""market_segment"": ""Online TA"", ""distribution_channel"": ""TA/TO"", ""is_repeated_guest"": ""0"", ""previous_cancellations"": ""0"", ""previous_bookings_not_canceled"": ""0"", ""reserved_room_type"": ""B"", ""assigned_room_type"": ""B"", ""booking_changes"": ""0"", ""deposit_type"": ""No Deposit"", ""agent"": ""9"", ""company"": null, ""days_in_waiting_list"": ""0"", ""customer_type"": ""Transient"", ""adr"": ""0"", ""required_car_parking_spaces"": ""0"", ""total_of_special_requests"": ""1"", ""reservation_status"": ""No-Show"", ""reservation_status_date"": ""2016-02-11""}",No guests in booking
